,reviews
148,Not Verified |  The food was awful. An over night early morning flight started with the offer of a terrible chicken wrap thing. Terrible. Then went to a Traditional Breakfast with disgusting sausage and inedible hash brown's. Such rubbish on BA.
149,"✅ Trip Verified | I really can’t believe they have the audacity to call this First Class. The check in staff at Singapore were abrupt and unhelpful. The official BA lounge in Singapore was closed, so they’re using a cheap generic alternative, which anyone can pay twenty pounds to go in. Suffice to say it was not pleasant. Onboard was like being in the middle of a bad comedy sketch. I can not believe the two stewardess have ever had any first class training. I had to ask for slippers. The first drink took nearly an hour to arrive, despite only having 8 passengers to serve between the two of them. The poor woman sat next to me ordered a wine, which came filled to the brim. I mean it’s First Class, not a student house party. Neither had any knowledge of the wines on the menu. Most of the food was awful. My steak was dry, over cooked and tough, and whichever catering manger signed off on a canapé of soggy mushroom on top of a chunk of polenta should be sacked immediately. I will say, the cheese and port were nice. However the worst thing was the constant galley noise. There was a cart stowage immediately in front of my seat (1K) which they were in and out of all night, and appeared incapable of shutting without slamming. They also seemed to have stored their personal belongings in to the bin immediately above my seat, so we’re in and out of that as well. I will say the seat itself is very well designed, but personally I’m happy in Club and would never do First again."
150,"✅ Trip Verified |  London to Dubai. Family of 6 kids where from 10 down to 6 years old, savvy travelers, been on many holidays so we were excited to be on BA for first time. But disappointment became desperation as we had not eaten anything since Dublin that morning at 7am. We had no time to eat at LHR so thought we'll get something usually around 1 hour into the flight. 3.5 hours after take off they served out food. Food was fine but nothing special, no issues with beverage, no attention to kids as you'd expect from many other airlines, even a kids book would be good. Movies are all outdated and already watched. So overall very medium experience."
151,"✅ Trip Verified | One would think that the number of crises BA incurs they would have had emergency planning down to a fine art. I last flew with BA May 2017 - yes, the weekend of the last but one IT crisis. I swore never again but ended up purchasing a ticket Aug 2018 to Bologna - BA cancelled the flight. Then covid hit so ended up with a voucher. Fast forward to Feb 26th, 2022. Received a message 5.30am 30mins from LHR that that my flight was cancelled. Arrived at the airport with everyone else just wandering and seeking answers. The staff that were there either told you to go online - a bit difficult as the BA systems were down or ring BA. Ha Ha or go home - not very helpful if you live two hours from LHR. By some miracle the app sprung into life, and I managed to get one of the last 10 seats on the evening flight. Sat in arrivals as there was a coffee shop - soon ran out of seats. By 12.00 midday most of us were trying to get airside to use lounges but no one was allowed in departures until two hours prior to your flight supposedly because of crowds. Pointed out BA should have provided refreshments - told to put a claim in. Eventually got to departures and made it through security. BA customer services (note the oxymoron) - had a consistent queue of about 20 people as BA were still cancelling/rearranging flights for passengers who were airside. Boarded flight 45mins late. Sat on tarmac as the pilot told us the delay was them trying to 'reconcile' luggage. When we took off given one very small bottle of water and a cereal bar for a five-hour flight They purport to be a top-class airline but in fact Ryanair has more finesse. The staff are fine but can be miserable because they are treated so badly and like to remind you that they are doing their best in a difficult situation - well so are the passengers. The aircraft are cramped and worn. I had been reluctant to use Egyptair but flew home with them on a new aircraft with a very good entertainment system and was provided with a hot meal and snack for same price as a BA ticket. How on earth can BA justify their prices? The management should be sacked as ultimately they are to blame for the ruination of this airline."
152,"Not Verified |  We will never use BA again for a long haul flight. Our experience of the flight from LHR-MLE wasn’t too bad, apart from a screaming child but the return wasn’t a good experience. We weren’t provided with a drink when we boarded as we were forgotten and that happened a few more times during the flight. I think the crew in Premium Economy were very young and not very experienced, leaving the experienced ones in Business/First. Actually, I think BA only care about the Business/First customers now with the cabins getting larger for those classes. They ran out of food choice 8 rows back in our cabin (it’s not a large cabin), ran out of wine straight after the food service and we had no food for 7hrs apart from a couple of biscuits, one of those we had to go and get from the kitchen. We weren’t fed until 1.5hrs before we landed (it was a 11.5hr flight) and then it was a soggy roll containing 2 slices or cucumber and 2 slices of tomato! BA just don’t care anymore about the little people."
153,"✅ Trip Verified |  British Airways is getting worse an worse, my flight was 8 mins late. Luggage is taking hours to arrive.  No communication whatsoever from anyone. They can't be reached on the phone and answer with delays to emails, if they do. My app is crashing most of the times. They change the aircraft without notice, so even if you pay for a seat, the staff will say there is nothing they can do."
154,✅ Trip Verified | Paid for 3 business class seats to London from New York. Got downgraded at airport check in because they overbooked business class. Couldn’t even provide compensation or a refund. Told I had to call customer service or submit a form. Unbelievable. Unacceptable. Never again. 
155,"✅ Trip Verified |  Absolutely shambolic customer service. The lounges at Heathrow are outdated and the service was terrible, waited over an hour for my chosen food/drink order to be brought to me. Ended up getting it myself and told off for doing so. On board product is average. "
156,"✅ Trip Verified |  Our flight back to Athens (on a different airline) was very delayed, causing us to miss our first flight home. I understand that they were not required to help due to the delayed flight being a different airline. What's worse is that they went ahead and canceled our tickets for our connecting flight, which we would have been able to make based on another flight out we found, causing us to have to buy much more expensive tickets home that resulted in us having an overnight layover and having to buy a hotel room on top of ridiculously expensive last minute tickets. The absolute worst customer service I have ever dealt with, and I will never be flying with them again."
157,"✅ Trip Verified |  Flight took off two hours late after what can only be described as a shambles at the airport. No airbridge to the aircraft which is not acceptable. The aircraft was better than the outbound flight, who screen was so small. After serving only about 2/3rd of the cabin, no first choice. Only a vegetarian dish or a chicken dish from the economy cabin. The airline must know that vegetarians will order a meal, so why include it as a choice. Also, to offer a roll of ham/cheese for breakfast after a 12 hour flight is cost saving. A hot breakfast should be offered. With only 90 minutes between my connecting flight, due to late arrival, I made staff aware. Whilst they let me and others passengers of the flight first, there was no staff to assist in getting us to our flight. It was a struggle to get my connecting flight. On arriving in Glasgow, got txt to say my bags did not make the flight. First time using BA premium and likely my last."
158,"✅ Trip Verified |  There was a mistake on my booking made by BA. Got an email to say ""contact us to discuss"". Took over 30 contact attempts spanning 7 hours and still not resolved. Absolutely the most shambolic customer support I have ever experienced. Still waiting for the call back I was promised 2 weeks ago."
159,"✅ Trip Verified | The economy cabin was surprisingly underpopulated on this flight, with only about 30 passengers, but business class was three-quarters full. Boarding was therefore mercifully quick and take-off on schedule. Sadly, BA59 makes use of the old Club World product, which now seems like a step back in time after experiencing the new Club Suite on BA42/43. There are some good points about the old Club World - the drawer capable of taking a laptop and the more comfortable seat when flat - but other than those, it's an embarrassment. The tiny, poorly responsive screen is almost beyond belief. Service was perfunctory and the meal service conformed to the current, overly cautious, post-Covid requirements, with everything served at the same time. This does mean that the meal is over and done with relatively speedily, but it's a lacklustre experience in contrast to BA's competitors and smacks of continued cost-cutting. Queues for the three toilets in business class were unacceptable at times and there was limited attention paid to keeping them clean. Arrival was on schedule, but Covid paperwork processing meant that it was an hour before we were able to collect our baggage."
160,"✅ Trip Verified |  British Airways continues to go downhill. We flew business class and the experience was like economy from 20 years ago except you can have a glass of champagne. We were packed in full 3x3 seats because of IT issue the day before. Even if weren’t, the Seat pitch and width is the same as economy. Gone are the little pretend tables in the middle seat to give some illusion of style. The food was dreadful. The in flight service was unsophisticated. BA used to have an acceptable European business class. They don’t any more. Other European airlines offer much better in flight experience in business class in comparison. BA is taking premium and frequent flyers for granted and treating us like mugs. How I miss the politeness of old BA business class from around 5 years ago, how I used to look forward to it, the small gestures like hanging up a coat, giving you a hot towel, having nice food, being served from the galley, rather than from the manky trolley. COVID is not the reason - this is years of cost cutting and the result is dreadful."
161,"✅ Trip Verified |  Outstanding! From the warm, smiling welcome on board, this flight was excellent. The in flight crew were friendly, attentive and very professional. Detailed announcements from the flight deck as well. Food and wine all very good indeed. The Premium Economy product on BA is also very good. Comfortable seats, foot and leg rests and decent recline. FR superior to any other airline on other Atlantic routes."
162,"✅ Trip Verified |  British Airways has scrapped the mandatory wearing of face masks onboard flights, although they pretend publicly that the policy remains. BA454 from London to Malaga on 25th February, and across 6 visible rows around me there were 7 out of 24 passengers wearing face masks - and I was one of them. This was long after the meal / drinks service had been cleared, and remained like that as we landed and deplaned. Cabin crew were frequently up and down the aisles and not a word was said to any of these non compliant passengers, or as they left the aircraft with staff bidding them farewell. I guess they are too scared to remind people to follow the rules? "
163,"✅ Trip Verified |  For once more BA got it all wrong with 6 hours delay, food voucher of 4 pounds and no information or advice. No staff to serve the waiting passengers. The attitude towards the passenger is one of a dispensable commodity."
164,Not Verified |  Another episode of unmitigated shambles when it comes to customer service. The day after Storm Eunice and English half term holidays are getting underway. So you make allowances and you accept there could be some delays. The fact they were then compounded by the late cancellation of a raft of flights to domestic and European destinations on the evening of Saturday 19 February for operational reasons was pitiful. You could not rebook via BA’s website. Instead passengers were compelled to queue at Gate A17 at LHR to possibly rebook and be provided with accommodation overnight. Some BA cabin crew were helpful but those in customer services in the South Lounge who simply directed passengers to the ever growing queues at A17 were a disgrace.
165,✅ Trip Verified |  Check in at IAD was quick and easy. Lounge in Washington was a BA lounge and very good. Sound pre flight food offerings for this overnight flight. Flight on time and boarded promptly. As we had eaten we opted to sleep. There was full dinner and breakfast service for those that wanted it. We slept well. On time arrival and quickly made it to T5 arrivals lounge which was excellent.
166,"✅ Trip Verified |  Very old planes, poor food and minimal leg room in economy. Check in procedure online did not work for me or any of my fellow travellers. Special meal request given weeks in advance for food allergy was ignored. I spoke to a BA customer service representative as soon as I landed in Heathrow who said they could not help and referred to the telephone line who said the same but referred to the online complaints form. Have been trying for weeks to raise this as a concern for those with food allergies and prevent this from happening to others but no reply via their complaints website or on Twitter. Telephone hotline is now also currently unavailable."
167,Not Verified | Having just booked BA for a return flight - being one hour each way in Club Class and paying + 700 euro for 2 persons to be then asked to pay a further 96 euro to choose seats in business. A full business class ticket and a fee for seat? A very disengaged management model.
168,"✅ Trip Verified |  BA got everything right. Allowed evening before check in , this allowed lots of time for staff to help with paperwork needed for travel to the US. On the day of travel it was half term and the Airport busy. In spite of this through security and into lounge in 5 minutes. Lounge clean, staff proactive and food served quickly. Good range of drinks. Easy transfer to C gates. Aircraft ready, boarding quick and well organised. Pre departure drinks served. The cabin crew were excellent and provided a very good service. The food was the new club world menu options ( roast beef) which was excellent. Although it was the older club world product it was clean and well maintained. On time arrival, baggage off very fast. Overall an excellent flight and it feels like BA are improving their offering at a time when many other providers use COVID as an excuse for service cut backs Well done"
169,✅ Trip Verified |  Appalling customer service - they have cancelled flights and rebooked us but have not confirmed any change to the hotel reservation that was part of the inclusive booking. Hours and hours on the telephone with no response (or you just get a recorded message to say they can't take the call). They don't respond to emails sent to the complaints line. 
170,"✅ Trip Verified |  This past November/December I flew Washington-London return and, on the strength of that trip (my first in two years), the inflight service quality appears to have pretty much returned to the pre-pandemic status quo ante. The cabin was clean and well maintained, seats were comfortable, food and drinks were good (including a very tasty Hertfordshire roast pork on the return leg), and the BA cabin crews remain the best in the business. This was one of a number of bookings that I had to re-book a number of times due to flight cancellations, and contrary to the experience of many here, my re-bookings were handled courteously and thoroughly (although I did have a number of lengthy waits on hold, but under the present circumstances that's to be expected). It's good to see that the everyday product has held up so well amid this dreadful time, and I'm looking forward to future trips on BA."
171,"✅ Trip Verified |  I had the best experience I have ever had with an airline. Our initial flight to Dubai was canceled By Royal air Maroc and we had to find a new flight at the last minute. I found that booking with them was extremely simple. Unfortunately, we had to cancel our flight the day of the departure. I called the customer service, waited about 20 minutes before I could speak with someone and within 15 minutes, the flight was canceled and they offered me a full refund. The person on the line was extremely nice, understanding and willing to help us. I had never dealt with such a nice employee from any airline. I got the full refund on my credit card the day after. I usually chose the cheapest flight ticket, regardless of the airline, but from now on, I’ll definitely make sure to check with British airways first."
172,"Not Verified | BA cancelled our original return flight and rebooked us a day later. We had no issue with this, just enjoyed an extra days holiday but others might not have been so flexible. However, they overlooked rebooking our connecting flight from LHR and we were fortunate that there was still space on the flight when we checked in at ATL. The aircraft was newish and in excellent condition, flight was around 50% capacity. Service was excellent, staff were friendly and efficient. Dinner was good, breakfast was disappointing with little choice. The LHR to BHD leg was equally good and I am beginning to think that BA are getting their mojo back again."
173,"✅ Trip Verified | Boarding was slow and uncomfortable on account of the lack air-con at the gate. The Club Suite cabins were about 3/4 full, but the rest of the plane can't have been much more than 20% occupancy. Whether this is the reason why cabin crew on the flight were cut to the bare minimum is hard to say, but they certainly had to work hard covering multiple cabins. Despite that, the drink and food service in business was efficient, and the current policy of serving all courses at once meant that dinner was done and dusted two hours after take-off, which is a real bonus on a night-time flight. However, the quality of the food remains mediocre at best and the pasta dish was almost inedible. The Club Suite is a big improvement on the ancient CW product, although storage is a funny arrangement of tiny compartments that invite losing a smartphone or two. One definitely misses the drawer at foot level in old CW. The large screen really improves the viewing experience and the whole IFE system was much more responsive. The new seats don't significantly aid sleeping, particularly as there's an obvious ridge at the level of the base of the spine. Waking up two hours before touchdown is definitely to be recommended in order to get breakfast over and to avoid the usual queues for the toilets. Performance of the flight deck was up to its usual high standard and arrival was twenty minutes ahead of schedule. Progress through border control was speedy but baggage collection was delayed for unspecified reasons. Overall, a good flight."
174,"✅ Trip Verified |  Unfortunately having just flown in the new club world cabin this time we had an incredibly old plane. The good was the cabin crew who tried to make the trip as pleasant as possible. The bad was the in-flight entertainment, the screens were unwatchable when they worked, my wife’s didn’t, and post iPad era just don’t live up. The food was just about okay without being anything special but all served at once. Apparently the crew explained this is because of a shortage of staff. I’m afraid BA has a lot to do to regain its standing in the aviation world, the competition is too fierce now to sit on your laurels."
175,"Not Verified |  Utterly appalling company. We've flown with them two times now, and both times it's been a disaster. The first time: Return flight was delayed by over 24 hours. There was nobody at the gate to tell us this, so a large group of passengers had to roam round Dubai airport looking for BA staff. There were none. Eventually another airline told us to go down some unmarked stairs, where a very angry person told us it was our fault, and we should have been given a letter. We had no letter. They then put us on a bus to the other terminal. When we arrived, there was nobody to greet us. We were literally just left there. We had to, yet again, contact another airline, who managed to find us transport to the hotel. When we got there, we were told it was full and we couldn't choose our rooms. We were given a terrible, dirty, cramped room. Several times throughout the night we were called to tell us our flight had been moved. Eventually we got to board the next day. My tray table was broken, as was the window blind, and I didn't get a meal. No compensation was offered. The second time I need to reschedule my flight. The website assured me this was fine, but provided no link. I needed to phone up. If you need to phone BA, don't even bother trying. I never got to speak to anyone, and just ended up booking a hotel to wait for my flight rather than rescheduling. The food has been terrible, meagre portions given infrequently. My sandwich was inedible. 
"
176,Not Verified | Over the past 2 years I have flown with British Airways twice and ended up in the exact same predicament of having to wait around all day in London Heathrow for a 1 hour flight home to Newcastle. While the holidays and the plane staff are fantastic the customer service and the staff at Heathrow are useless. First time in February 2020 I got stuck in Heathrow due to Storm Ciara when travelling home from work which was not the airlines fault. However the handling of the situation by the staff at the airport was a joke. They had 4 to 5 staff ran a kiosk queue of over 100+ unhappy travellers whilst they could have set up mini kiosks on the unused gates to get through everyone quicker. Their was no crowd control and at one point after queuing for 2 hours plus the staff decided to shut up shop. In the end after a 12 hour battle I was lucky enough to get home on the last flight of the day through sheer luck when I finally spoke to someone. In November 2021 I decided to give BA a second chance and booked to go to New York. Since the plane landed late into LHR I missed my connecting flight which could have been avoided if the staff at Heathrow had assisted me or held the plane for a short while. As I rushed through customs I did manage to make it to the gate with 5 minutes to spare and the plane still in the terminal but since they had taken my luggage off the flight they told me to go to the service desk and refused to let me on since they had moved me on to a later flight. My layover was now 10 hours and all I got from the guest services was a £12 food voucher to spend and a phone number for what I thought was complaints but after being on hold for 20 minutes found out it was not from complaints. Considering the fact this could have all been avoidable with more assistance to have only been given a food voucher for £12 seemed really cheap. A few days after I got home I then raised a complaint expressing how annoyed I was and waited over a month for a response before chasing it up only to find the complaints staff were not working. When I got a response I said I wanted 20-25% back off my holiday. I got an apology and told the staff at Heathrow will be better but in terms of good will and compensation I was offered nothing! 
177,"✅ Trip Verified |  Return trip Cape Town to Durban in Club Class highlighted the inconsistency. Our outbound trip in December was good in all respects, whereas the return trip was disappointing. Check in was fine, apart from the agent failing to label one of bags priority, resulting in a long wait for our third bag. The lounge was busy, but no complaints. We went to the boarding gate at the check in time indicated on the screen, where there was no sign of activity, although the screen was still showing the same gate and departure time. Shortly thereafter two ground staff appeared and when approached said the flight was delayed from 1330 to 1410 and the gate was changed to the lower level bus gates. The informational screens had now updated to the delayed time and new gate. I checked on the flight radar app, which showed that our aircraft had started in Durban, and flown to Cape Town, Port Elizabeth, back to Cape Town, and it had been clear for some time that it had no hope of being on time for our flight. In fact looking at its schedule and turn around times it was always going to be late. Boarding eventually started at 1400 with departure at 1430, 60 minutes late. Drinks service only started 30 minutes later, followed by lunch. The food was good but the wine offering very mediocre, and not up to club standards. With the price of good wines in South Africa there is no excuse for serving poor wine. Lunch service was quick, but then the crew disappeared behind the curtain and there was no offering of top up drinks unless specifically requested. Overall this was a disappointing flight with a lacklustre crew"
178,"✅ Trip Verified |  I used British Airways for the first time and I have to admit that I am impressed with their service! Firstly, I want to thank the lady that assisted me to weigh my luggage. My flight was 16:10, however due to unforeseen circumstances, I arrived at the airport around 15:40. I was convinced that I was going to miss my flight because the queue was very long. I stood there a few minutes but then realized that I would miss my flight. I went to ""Club check-in"" and the lady was incredibly kind to me. I just cannot believe how patience she was with me even though I was at fault. She weighed my luggage and I was able to board the flight successfully. I was not aware that this airline gives out free meals. We got a sandwich and drink and we had an option to choose between vegetarian and chicken. I personally love free stuff so I will be ditching Flysafair (even though they have excellent service as well) in the near future, unfortunately. Diversity; The first time I flew was in 2018 and I have to admit that I have never seen such diversity amongst cabin crew staff however with British Airways it was different.  The staff was very kind and friendly as well. What a wonderful experience to fly with these guys!"
179,"✅ Trip Verified |  I recently had the unfortunate privilege of travelling on British Airways from Detroit to Bangalore and back. Given that it is a long and arduous journey with multiple layovers, I decided to spend extra and get a business class ticket. I was quickly dissuaded of any misconception that I was special because I spent that extra money or was in Business class. From shoddy service to rudeness and insolence from ground staff, I experienced nothing but frustration and insecurity throughout my journeys. The trump was being stranded in London having missed my connection and spending close to 3 hours to get to the front of the counter to rebook my flight. Being a business class traveller had no bearing as we were all told to stand in one gigantic line and wait our turn. Some special passengers were escorted to the Club World check in. When we asked the lady, she told us to continue standing where we were and she would come back to get us when the counter freed up. Needless to say it never did. Finally got my turn with no extra help from any of the ground staff that was running around in a frenzy and was rebooked. So I come back to the question: Can big corporations lie with no accountability? Why would I spend my hard-earned money on something that gave me nothing extra? Shame on you British Airways for your complete disregard for your passengers. Stop your lying or update your promises!"
180,"✅ Trip Verified |  I have flown with BA for many years and today was another poor experience as I’ve witnessed the airline decline into a sub-par service. I understand that it’s been a tough two years for airlines but BA’s decline started before the pandemic and it has now truly plummeted. Enormous queues at JFK BA check-in terminal 7. Even the priority lane was at a standstill for at least half an hour before people started complaining they’d miss their flights. Terrible efficiency at the check-in counters. At times, only one member of staff is processing people whilst other BA staff stood around on their phones or having a chat. One member of staff stopped processing a man desperately trying to catch his flight in order to start processing someone else who had jumped in. The interior of the plane was generally filthy, crumbs, bits of food, stains, marks all around the seating area. They give you a single wet wipe which I used to think was for your hands but now I see most passengers wiping down their surrounding area. There are some very good and courteous members of staff but there are also some awful members of staff who behave unprofessionally. On this particular flight one of the cabin crew is as swearing about his colleague at the back of the plane who apparently wasn’t pulling his weight. Very poor. I used to be a proud BA flyer but now I just feel like I’m clinging on to my airline status which doesn’t actually provide you a better service these days."
181,"✅ Trip Verified |  The entertainment selection was sub par, minimal selections and the new releases were  not new releases. My food left something to be desired. Two of the seats in our row the earphone jack didn’t work. The plane was either uncomfortably hot or too cold, find a medium temp. Just overall a very basic generic airline."
182,"✅ Trip Verified |  Straightforward and friendly baggage drop. On to South Lounge, no polite conversation on have you used our lounge before, no indication that it was so busy there was nowhere to sit at all considering even the 1.5m distancing. Had to roam the entire lounge, lugging our bags on the carpeted floor, with no success at all. Gave up after 20 minutes and decided to try another lounge. Arrived and everything was actually right in front of us and actually found somewhere to sit after 5 minutes of looking around. Menu was basic with no eggs, hash browns or any breakfast cakes or muffins. Ordered a frittata as was so hungry. Made my way to the self-serve coffee counter which had basic coffee and was straight away put off by flies hovering over the croissants and fruit. Flight was departing from a gate where you had to take a train to and as if to rub salt in the wound were then told that DXB flight usually leaves from there and should’ve gone to the lounge near there. Looking at the individual cubicles which was to be honest our top reason for choosing business class gave me heart. However, the doors cannot close till take off. I asked for the artisan crisps or biscuits on the Menu and it took them over an hour. Lunch came in another almost hour. Asked if could swap puddings as am not a crumble person, said will surely try but clearly didn’t, with no apologies or even trying. Portions were small, plus saw quite a few fellow passengers sleeping through lunch so asked if could have more but all was finished. Chocolates are Lindor. Nothing special about the other amenities, toilets were no different to what you’d expect, amenity kit was basic, duvet seemed well used. It was not worth almost 4 times the amount of a regular ticket. Naive to trust claims of world class standards."
183,"Not Verified | On arrival at the Warsaw Airport the check in zone was the only one that was not announced on the flight board - we had to guess and ask random people where to go. Once we finally found the check-in desks, luggage drop and check-in was appalling. It took us over 1.5 hours to get our bags checked (and we were half way through the queue). The whole process was disorganised and very slow, really the last thing you want when looking after 2 small, impatient kids. Lady in Warsaw Airport who was supposed to direct passengers to the correct queue was useless. One check-in desk for Euro Traveller / Club Europe, one for bag drop and one for the check-in.  Flight left delayed but the pilots managed to catch up and landed with a small delay, crew on the plane was nice and attentive. Luckily the in air experience was much better, but sort out your ground service at Warsaw Airport."
184,"✅ Trip Verified |  In Glasgow one check in desk open. Huge queue with no business check in. It took me close to an hour to bagdrop. Getting onto the aircraft in Glasgow, no hello from the crew and the same getting off.  I normally find BA cabin crew very nice. Breakfast was a very tired looking croissant.  I used the BA lounge in Terminal 3. Not very keen on the new table service. Poor choice and miniscule portions. Lounge staff were very nice in both directions. On arrival at LHR there was a coach transfer from T5 to T3. We were packed in like sardines. So much for social distancing. The flight from LHR to Pisa was delayed and once we boarded we sat on the aircraft for another 2hrs 30 mins. Captain advised us that there was no tow truck for push back and when it did eventually arrive there were no baggage handlers to load the containers. No drinks or anything offered while we waited. Food was not even worth mentioning. As far as Club Europe goes it's not worth the extra cost. No priority baggage as mine were last onto the belt in Pisa, seats are economy seats with the centre one blocked off. The first officer summed it up when we arrived in Pisa- Sorry folks this trip was a pretty poor show by BA, and he was right. For the return trip on Hogmanay we left on time. I've never been on a flight to or from Pisa which has left in time. Pisa lounge is nice enough but the food choice is laughable. On board I gave the food a miss.  Heathrow back to Glasgow Flight left on time. Food was an antipasto of some sort which I declined.  Both cases were last off again. Club Europe is really not worth the money as you are in an economy cabin. I would have thought that BA would do more about their food and onboard service since the cabin is what it is."
185,"✅ Trip Verified | After two years of being unable to fly to our second home in South Africa because of COVID, it was fantastic to be back on board a BA flight to CPT, and in the Club Suite seats (1K and 2K) to boot. These seats are a huge improvement on the old yin-yang CW seats in terms of privacy, ease of access and the IFE screen, but the cabin still felt densely occupied and the seats were just as uncomfortable when lying flat. Storage was a mixed blessing, too, with three rather fussy little compartments rather than the decent sized drawer in the old CW, meaning that a laptop would have to be stored above. The food onboard was woeful, although serving all three courses at the same time does at least mean that the dinner service isn't dragged out. Cabin crew went about their business dutifully but with little enthusiasm, and there were the usual queues for the toilets. The flight itself was uneventful and landing was more or less on time. CPT had an efficient arrangement for checking forms immediately after leaving the airbridge and there were no queues at immigration. It was good to be back!"
186,"✅ Trip Verified |  I paid $1189 for a round trip flight to London and back in premium economy. They bumped me from the seat for the flight back, and told me I'd be issued a refund. Instead of being issued a refund I had to contact them through several different methods, phone, website, Twitter, and finally email. They told me I'd be getting $229.16 back, which is less than half of the $589 I paid for the upgrade. Instead they refunded $14.58. I emailed again and they told me I'd be getting $115.16 more back. When I emailed again saying that that doesn't add up to the original amount I was told I was getting they simply replied with ""That's the final amount."" Turns out that meant they were taking back the initial refund of $14.58 and I was only getting $115.16 total. So I emailed them again asking why they changed the amount and they've yet to respond. So I called this morning and after explaining politely what I was calling for they hung up on me."
187,"✅ Trip Verified | Very nice return flight with BA. To add to my previous review, I really like how BA organises boarding and disembarking processes in groups, this is super comfortable as 100+ passengers don’t jump out and then sweat in a queue when the gate is not even there. The A320 was new and the cabin had a fresh feeling with nice mood lighting. Row 1 has an enhanced legroom and thus, makes the 1-hour hop very comfortable. Once again, amazing staff, and they were even more attentive and accommodating to Gold level passengers: always coming and asking if any help is needed. Lovely humus, beetroot and quinoa salad for food. Great WiFi at really competitive pricing + I think it is great that they also have food / alcohol offered to buy online for all travel classes. Domestic T5 arrivals is a breeze."
188,"✅ Trip Verified |  Overall, a very lovely flight with BA to Edinburgh during Christmas holidays. Lounge was ok, quite worn out, although staff and food were nice (much better than when I travelled last time). Although the plane seemed old, the cabin felt very fresh, clean, temperature perfectly adjusted to my liking (around 22-23C) and Had a funky lighting. Although seats are the same as those in Economy, they are pretty comfortable for a 1-hour hop (much better than those at Air France) and together with an enhanced legroom in row 1 it was wonderful (for Gold card passengers, BA automatically reserves row 1 in Club Europe with enhanced legroom which I think is a great touch). The crew (especially the purser) were phenomenal: extremely friendly, adaptive to your needs and professional, leaving a very pleasant flight aftertaste. Afternoon tea catering was lovely for this short flight: sandwiches and scones were tasty. I am actually a fan of well-presented, however simpler meals on board; to my opinion, they are just tastier and give a feeling of trust. For a quick hop, BA ticked all the marks here (in comparison, on a CDG-LHR leg Air France presented a ‘chic’ cold starter, however, to me, it looked a bit too complicated and, except from the duck terrine, rather unappetising / KLM served a super nice and simple Chicken Caesar but it was in a paper box). One big drawback was the First wing experience at T5: the queue there was so long that I decided to go through the regular lines instead. It’s quite disappointing given how much money regular flyers / their companies spend to earn a Gold status. Nevertheless, the flight and, most importantly, the crew completely negated that drawback. The flight was £200 one way (£600 return incl. transfer to Kirkwall) which was pretty expensive, however, the service seemed like it was worth the money."
189,"Not Verified |  First of this was one of the smoothest UK to US flights I have taken. The boarding was appalling and had families with kids queue for no reason at all. They called families to the front but then decided to board business and premier classes first which I appreciate why but why call families? The worse seats ever and the legroom was appalling. The entertainment system is basic, it does not support Bluetooth headphones, the USB does not support your own devices for movies although the website says yes and the headphones input was as good as useless.  The crew were nice so sorry I missed that."
190,"✅ Trip Verified |  Flying during covid is always a challenge. BA’s VeriFLY app worked perfectly and on-line check-in was seamless. The bags drop at T5 was seamless and boarding was done efficiently by zones. Although an older 777 it had been refurbished and everything was new and clean. The cabin crew were a credit to the airline – smartly dressed, friendly and keen to please. We were offered two drinks before lunch was served, with more drinks with the meal. The food was acceptable and we were given a tasty sandwich before landing. Obviously it was only economy but, after 8 hours flying, I arrived relaxed and unstressed."
191,"✅ Trip Verified |  Flew to Nashville via Chicago in first. Excellent check in and security. Lounge was good. Food and drink choices very good. First cabin on 787 is 8 seats. Comfortable seat, entertainment a little clunky. Cabin service top banana!! Food and drinks choices and tastes amazing for an aircraft. A special call out to Stewart Tim. A credit to BA."
192,"✅ Trip Verified |  I had low expectations of business class BA on European routes but this flight was even worse. T5 is a mess with 90 minute queue to check bags with tons of people arriving late. Check in guy seemed clueless about Turkey needs for pcr etc. BA lounge is a joke so i went out and got sushi from a restaurant - there was mulled wine in crowded lounge but just bad all round. Boarding was chaos and we left an hour late. A320 was jammed full but business class there is little legroom and just the middle seat free, you might as well fly a low cost carrier for same seat. There is no inflight screen no overhead screen. Although the curtain was closed economy people used the forward bathroom with no crew sending them back. The only salvation was a pretty decent shepherds pie and red wine otherwise I would avoid flying BA. The next day I flew the same aircraft type to Bahrain on another carrier with proper business class seat in flight screen, headphones, good food and drinks, Arabic coffee, dates and gracious service. BA hang your head in shame."
193,"✅ Trip Verified |  We've just used the new Club World for the first time and were delighted with the new configuration. The privacy afforded is so much better, in-flight entertainment and storage were brilliant. Unfortunately, we had the most lethargic crew ever who once the meal was served basically disappeared. The wines were warm, they even forgot to offer my wife a drink with lunch, and she also had a pair of used socks in her storage cabinet. Heathrow was a nightmare as often happens. Being 5 minutes early was rewarded with a 40-minute wait for a gate, then a 2.5 hour wait for our luggage, absolutely shocking in Covid times."
